Municipi;Codi;Altitud (m);Superfície (km²);Població;longitud;latitud
Molins de Rei;81234;37;15,94;26930;2.01589375;41.41390212
Mollerussa;251370;250;7,08;15680;0.89369683;41.62983524
Mollet de Peralada;171061;59;6,04;215;2.99977438;42.35980952
Mollet del Vallès;81249;65;10,77;52045;2.21104586;41.53632896
Molló;171077;1182;43,09;373;2.40461091;42.34677496
Molsosa, la;251364;667;26,89;105;1.54424445;41.78570609
Monistrol de Calders;81287;447;21,97;762;2.01387011;41.75984805
Monistrol de Montserrat;81271;161;11,77;3188;1.84249509;41.60962346
Montagut i Oix;171096;276;93,70;1002;2.59763689;42.23081244
Montblanc;430862;350;91,07;7539;1.16149917;41.37656212
Montbrió del Camp;430884;132;10,70;3137;1.00351945;41.12072351
Montcada i Reixac;81252;36;23,47;37096;2.18746507;41.48468897
Montclar;81304;728;21,89;132;1.76544036;42.01818178
Montellà i Martinet;251399;967;54,95;619;1.69677447;42.36146297
Montesquiu;81311;577;4,94;1095;2.20974819;42.10999187
Montferrer i Castellbò;251403;732;176,66;1163;1.42780351;42.3419576
Montferri;430897;229;19,15;473;1.36577974;41.26565947
Montgai;251386;286;28,94;640;0.96100772;41.79986039
Montgat;81265;20;2,91;12646;2.27905845;41.46660361
Montmajor;81326;756;76,49;474;1.73513951;42.01764703
Montmaneu;81332;709;13,62;200;1.41461147;41.62566469
Montmell, el;430901;429;72,80;1916;1.45248456;41.31482135
Montmeló;81350;72;4,00;8887;2.2480687;41.5515773
Montoliu de Lleida;251425;166;7,34;477;0.58890293;41.56056712
Montoliu de Segarra;251410;689;29,47;181;1.27011198;41.59009783
Montornès de Segarra;251431;605;12,32;88;1.22956779;41.60074472
Montornès del Vallès;81363;116;10,23;17039;2.26621299;41.54490132
Mont-ral;430918;888;34,72;185;1.09693663;41.28683328
Mont-ras;171100;88;12,31;1691;3.14323029;41.90915377
Mont-roig del Camp;430923;120;63,32;14185;0.95776992;41.08825086
Montseny;81379;528;26,77;379;2.39490999;41.75915813
Móra d'Ebre;430939;38;45,12;5739;0.64112437;41.09251052
Móra la Nova;430944;31;15,93;3309;0.65085304;41.09994376
Morell, el;430957;104;5,94;3851;1.20887562;41.1921918
Morera de Montsant, la;430960;743;52,88;144;0.84181948;41.26495766
Muntanyola;81290;807;40,30;712;2.17782906;41.87828837
Mura;81398;454;47,79;232;1.97620504;41.69957261
Nalec;251459;487;9,25;89;1.1151682;41.56018116
Naut Aran;250254;1267;255,75;1896;0.89855998;42.70729424
Navarcles;81402;269;5,52;6158;1.90375655;41.7516175
Navàs;81419;370;80,62;6183;1.87891821;41.89994691
Navata;171117;145;18,48;1466;2.86068314;42.22377296
Navès;251462;610;145,27;302;1.64011243;41.99079698
Nou de Berguedà, la;81424;876;25,01;163;1.8848739;42.16576061
Nou de Gaià, la;430976;93;4,32;611;1.37376024;41.18298618
Nulles;430982;231;10,61;557;1.29519999;41.24931204
Odèn;251484;1130;114,38;231;1.38666817;42.13394847
Òdena;81430;421;52,66;3695;1.64239663;41.6063498
Ogassa;171122;951;45,22;218;2.27685224;42.26595005
Olèrdola;81458;189;30,15;3938;1.72390499;41.31911158
Olesa de Bonesvalls;81461;265;30,79;2092;1.85052529;41.35179497
Olesa de Montserrat;81477;124;16,63;24703;1.89309542;41.5455928
Oliana;251497;469;32,37;1828;1.31470046;42.06490074
Oliola;251500;452;86,28;195;1.17370938;41.87565789
Olius;251517;742;54,84;1003;1.55971222;41.97823203
Olivella;81483;211;38,75;4452;1.81098999;41.31039901
Olost;81496;572;29,37;1213;2.095915;41.98602723
Olot;171143;443;29,03;38836;2.48974086;42.18257737
Oluges, les;251522;528;18,95;165;1.3143015;41.6977896
Olvan;81445;553;35,58;910;1.90498012;42.05707803
Omellons, els;251538;385;11,06;189;0.95947905;41.50147978
Omells de na Gaia, els;251543;560;13,48;121;1.07488841;41.49987078
Ordis;171156;98;8,55;396;2.90673999;42.2186167
Organyà;251556;558;12,53;809;1.32855282;42.21109576
Orís;81509;576;27,17;349;2.23854688;42.05867942
Oristà;81516;468;68,49;571;2.06073698;41.93224773
Orpí;81521;375;15,23;179;1.60751597;41.52896534
Òrrius;81537;259;5,66;806;2.35475893;41.55510485
Os de Balaguer;251569;463;135,96;1072;0.71861622;41.87132011
Osor;171169;340;52,07;422;2.55748815;41.9454702
Ossó de Sió;251575;391;26,29;195;1.15943445;41.75488006
Pacs del Penedès;81542;201;6,27;943;1.66948616;41.36200398
Palafolls;81555;16;16,56;9933;2.7493786;41.66696309
Palafrugell;171175;64;26,88;24245;3.16403851;41.91484048
Palamós;171181;12;13,98;18619;3.1293782;41.84678773
Palau d'Anglesola, el;251581;250;12,27;2200;0.88017925;41.65172257
Palau de Santa Eulàlia;171194;86;8,44;136;2.96612559;42.17360773
Palau-sator;171215;20;12,39;305;3.1105158;41.98936752
Palau-saverdera;171208;78;16,45;1498;3.1500171;42.30804154
Palau-solità i Plegamans;81568;130;14,93;15444;2.1785704;41.58737774
Pallaresos, els;431009;120;5,13;5018;1.2695281;41.17517033
Pallejà;81574;41;8,30;11811;1.99661493;41.42143062
Palma d'Ebre, la;430995;335;37,92;335;0.66616838;41.28287158
Palma de Cervelló, la;89058;100;5,46;3048;1.97012374;41.41189629
Palol de Revardit;171236;152;17,98;467;2.79619921;42.06988379
Pals;171241;55;25,83;2583;3.144941;41.97099258
Papiol, el;81580;135;8,95;4358;2.0106203;41.43899897
Pardines;171254;1226;31,05;161;2.21352554;42.31222041
Parets del Vallès;81593;98;9,12;18879;2.23437494;41.57305833
Parlavà;171267;40;6,18;429;3.02992841;42.02214449
Passanant i Belltall;431016;714;27,35;162;1.19893879;41.5313751
Pau;171289;33;10,70;590;3.11616897;42.31581559
Paüls;431021;378;43,83;543;0.40036181;40.92243962
Pedret i Marzà;171292;22;8,65;188;3.06877517;42.31053197
Penelles;251641;276;25,51;435;0.9655759;41.75760239
Pera, la;171306;93;11,54;452;2.97331454;42.02041259
Perafita;81607;754;19,59;438;2.10679646;42.04226209
Perafort;431037;125;9,54;1319;1.25532033;41.19107295
Peralada;171328;32;43,61;2047;3.00813924;42.30824132
Peramola;251654;566;56,17;349;1.26780131;42.05717298
Perelló, el;431042;142;100,67;2933;0.71237616;40.87548015
Piera;81614;324;57,20;17560;1.74255626;41.517654
Piles, les;431055;676;22,39;230;0.67256442;42.82282391
Pineda de Mar;81635;10;10,74;29415;2.68933847;41.62744221
Pinell de Brai, el;431068;189;56,99;975;0.51439464;41.01546909
Pinell de Solsonès;251667;800;91,11;203;1.41825455;41.95179847
Pinós;251673;823;104,32;277;1.53993191;41.83795747
Pira;431074;385;8,01;499;1.20194707;41.42395088
Pla de Santa Maria, el;431080;381;34,99;2391;1.28885286;41.36562491
Pla del Penedès, el;81640;216;9,56;1352;1.71294661;41.41750955
Planes d'Hostoles, les;171334;370;37,50;1748;2.09904584;42.31799393
Planoles;171349;1136;18,75;306;2.10376924;42.3162826
Plans de Sió, els;259118;412;55,89;521;1.19879659;41.76196725
Poal, el;251689;216;8,88;652;0.85674742;41.67816923
Pobla de Cérvoles, la;251692;663;61,92;209;0.91552276;41.36770867
Pobla de Claramunt, la;81653;265;18,54;2356;1.6747808;41.55420472
Pobla de Lillet, la;81666;843;51,45;1107;1.97416158;42.24414917
Pobla de Mafumet, la;431093;98;6,21;4127;1.20970596;41.18757799
Pobla de Massaluca, la;431107;357;43,40;344;0.35376161;41.18025791
Pobla de Montornès, la;431114;56;12,29;3357;1.41483697;41.17676428
Pobla de Segur, la;251713;524;32,83;3043;0.96885546;42.24982897
Poboleda;431129;343;13,95;333;0.84488515;41.2334098
Polinyà;81672;123;8,79;8559;2.1565587;41.55763252
Pont d'Armentera, el;431135;349;21,67;498;1.36280536;41.38367444
Pont de Bar, el;250306;861;42,62;165;1.60516957;42.37233599
Pont de Molins;171352;43;8,66;572;2.92569076;42.31459121
Pont de Suert, el;251734;838;148,14;2415;0.74024299;42.40765539
Pont de Vilomara i Rocafort, el;81825;202;27,41;4139;1.87379216;41.6983699
Pontils;431418;551;67,56;123;1.38780874;41.47726612
Pontons;81688;584;25,94;518;1.51682734;41.41563199
Pontós;171365;94;13,66;289;2.91656667;42.18665597
Ponts;251728;363;30,52;2670;1.18619719;41.91567944
Porqueres;171371;148;33,52;4782;2.78257837;42.10876804
Porrera;431140;316;28,83;417;0.85604696;41.18895871
Port de la Selva, el;171404;12;41,62;1058;3.20472154;42.33843077
Portbou;171387;28;9,22;1082;3.15860615;42.42586273
Portella, la;251749;259;12,31;723;0.63932094;41.73988949
Pradell de la Teixeta;431153;463;21,83;178;0.87589296;41.15696236
Prades;431166;950;32,58;671;0.98792525;41.30962174
Prat de Comte;431172;363;26,43;188;0.4052349;40.98377531
Prat de Llobregat, el;81691;8;31,41;65910;2.09310327;41.33051298
Pratdip;431188;245;36,27;763;0.87094461;41.05081868
Prats de Lluçanès;81712;707;13,78;2696;2.02955803;42.00897465
Prats de Rei, els;81705;608;26,06;554;1.541727;41.7054294
Prats i Sansor;251752;1124;6,57;254;1.83700934;42.36605817
Preixana;251765;328;21,52;404;1.03764484;41.60778066
Preixens;251771;315;28,67;390;1.05064832;41.79405228
Premià de Dalt;82303;142;6,57;10574;2.34197767;41.50727392
Premià de Mar;81727;8;2,11;28928;2.35810744;41.49239183
Preses, les;171390;474;9,39;1924;2.4525789;42.1445838
Prullans;251790;1096;21,21;252;1.73674864;42.37887292
Puigcerdà;171411;1202;18,92;10041;1.92716471;42.43123876
Puigdàlber;81748;239;0,40;629;1.70090791;41.40440678
Puiggròs;251804;334;9,90;257;0.88999581;41.55053379
Puigpelat;431191;252;9,48;1208;1.2969147;41.27988739
Puig-reig;81751;455;45,75;4482;1.87883777;41.97473919
Puigverd d'Agramunt;251811;366;17,00;247;1.12203495;41.7772783
Puigverd de Lleida;251826;219;12,51;1417;0.73303042;41.54330308
Pujalt;81764;770;31,43;212;1.42082507;41.71714385
Quar, la;81770;885;38,25;44;1.96165012;42.08101611
Quart;171426;91;38,09;4099;2.83987194;41.93979289
Queralbs;170433;1236;93,47;206;2.16274608;42.34858308
Querol;431205;565;72,26;595;1.3970247;41.42293332
Rabós;171432;106;45,10;239;3.028525;42.37906431
Rajadell;81786;361;45,53;594;1.70601646;41.72804121
Ràpita, la;431362;11;53,72;15802;0.59281737;40.62005243
Rasquera;431212;174;51,31;796;0.59748747;41.00147842
Regencós;171447;78;6,27;279;3.16989002;41.95244586
Rellinars;81799;322;17,79;920;1.91081149;41.63735289
Renau;431227;175;8,22;158;1.31119271;41.2247584
Reus;431233;117;52,82;109961;1.10876299;41.15510545
Rialp;251832;725;63,30;663;1.13476576;42.44413234
Riba, la;431248;263;7,99;568;1.17803191;41.31825095
Riba-roja d'Ebre;431251;76;99,14;1126;0.4876126;41.25070535
Ribera d'Ondara;259059;570;54,47;454;1.34181894;41.62541972
Ribera d'Urgellet;251850;702;106,96;960;1.38447102;42.31220906
Ribes de Freser;171450;912;41,87;1846;2.16763829;42.30616628
Riells i Viabrea;171463;96;26,98;4497;2.55896728;41.72690339
Riera de Gaià, la;431264;28;8,76;1806;1.36168165;41.16485586
Riner;251863;830;47,10;264;1.52461678;41.91393421
Ripoll;171479;691;73,71;10773;2.19058714;42.20086676
Ripollet;81803;79;4,33;39430;2.15508157;41.4971052
Riu de Cerdanya;259139;1173;12,34;99;1.82603103;42.34522084
Riudarenes;171485;84;47,60;2444;2.71704512;41.82258709
Riudaura;171498;572;23,60;528;2.40680337;42.18857199
Riudecanyes;431270;195;17,10;1359;0.96067633;41.13016713
Riudecols;431286;299;19,46;1248;0.97604743;41.16851499
Riudellots de la Selva;171501;98;13,13;2128;2.80329624;41.89281813
Riudoms;431299;125;32,43;6954;1.0515193;41.13889158
Riumors;171518;7;6,54;264;3.04212404;42.22730033
Roca del Vallès, la;81810;123;36,90;10956;2.32570742;41.58743709
Rocafort de Queralt;431303;566;8,47;246;1.28149514;41.47803104
Roda de Berà;431310;57;16,50;8027;1.45440038;41.18597877
Roda de Ter;81831;443;2,23;6883;2.30940725;41.98100878
Rodonyà;431325;312;8,49;522;1.39906177;41.2798289
Roquetes;431331;14;136,92;8374;0.5029873;40.82039286
Roses;171523;5;45,91;20255;3.17788689;42.26219149
Rosselló;251898;252;9,92;3353;0.59523397;41.69328751
Rourell, el;431346;114;2,32;403;1.21829517;41.22401222
Rubí;81846;123;32,30;81523;2.0311536;41.49230826
Rubió;81859;629;48,00;240;1.56996915;41.64445395
Rupià;171539;66;5,29;329;3.01085865;42.02041743
Rupit i Pruit;89019;822;47,81;281;2.46595415;42.02375699
Sabadell;81878;190;37,79;221564;2.10827649;41.54622002
Sagàs;81884;738;44,60;154;1.96300878;42.05192662
Salàs de Pallars;251902;573;20,27;354;0.93147959;42.21276002
Saldes;81901;1215;66,40;300;1.73538519;42.22865905
Sales de Llierca;171544;260;35,82;157;2.64981914;42.23562149
Sallent;81918;278;65,22;6932;1.89650419;41.82435229
Salomó;431359;165;12,21;530;1.37458856;41.22942496
Salou;439057;2;15,13;30442;1.13422667;41.08147166
Salt;171557;83;6,64;33946;2.79307844;41.97448262
Sanaüja;251919;409;32,99;387;1.31080166;41.87629584
Sant Adrià de Besòs;81944;14;3,82;38672;2.21817353;41.43058547
Sant Agustí de Lluçanès;81957;816;13,26;108;2.12738896;42.08500386
Sant Andreu de la Barca;81960;42;5,50;27039;1.97555665;41.44681571
Sant Andreu de Llavaneres;81976;114;11,83;11942;2.48326769;41.57442153
Sant Andreu Salou;171576;132;5,96;173;2.82540283;41.87353535
Sant Aniol de Finestres;171833;289;47,73;372;2.61651315;42.06219061
Sant Antoni de Vilamajor;81982;258;13,70;6654;2.40122523;41.67353114
Sant Bartomeu del Grau;81995;868;34,40;939;2.17485796;41.98104603
Sant Boi de Llobregat;82009;30;21,47;84588;2.04521098;41.3467777
Sant Boi de Lluçanès;82016;813;19,48;574;2.15186684;42.05712634
Sant Cebrià de Vallalta;82037;71;15,80;3812;2.59965964;41.61975382
Sant Celoni;82021;152;65,23;18708;2.49200974;41.68997482
Sant Climent de Llobregat;82042;87;10,81;4181;1.99603571;41.3376746
Sant Climent Sescebes;171582;86;24,37;675;2.98050335;42.36878189
Sant Cugat del Vallès;82055;124;48,23;98649;2.08493016;41.47080529
Sant Cugat Sesgarrigues;82068;266;6,24;1028;1.75282996;41.36437239
Sant Esteve de la Sarga;251961;875;92,87;124;0.76369015;42.07963459
Sant Esteve de Palautordera;82074;231;10,64;3081;2.43682078;41.70255129
Sant Esteve Sesrovires;82080;183;18,56;8039;1.87384233;41.49344352
Sant Feliu de Buixalleu;171595;402;61,94;878;2.60758858;41.73539009
Sant Feliu de Codines;82107;480;15,00;6624;2.16407998;41.68884482
Sant Feliu de Guíxols;171609;4;16,23;22934;3.02860721;41.78038557
Sant Feliu de Llobregat;82114;25;11,82;46381;2.04555205;41.38089988
Sant Feliu de Pallerols;171616;473;34,86;1670;2.50702418;42.07557918
Sant Feliu Sasserra;82129;617;22,36;629;2.02242885;41.94437798
Sant Ferriol;171621;146;42,24;236;2.71553086;42.19254999
Sant Fost de Campsentelles;82093;112;13,15;9196;2.23260277;41.51879754
Sant Fruitós de Bages;82135;247;22,29;9225;1.87369718;41.75083128
Sant Gregori;171637;112;49,17;4244;2.76017203;41.99070008
Sant Guim de Freixenet;251924;738;25,10;1214;1.41859109;41.65566775
Sant Guim de la Plana;251977;556;12,45;195;1.32407652;41.76294143
Sant Hilari Sacalm;171642;803;83,28;5969;2.50876389;41.87917761
Sant Hipòlit de Voltregà;82153;536;0,92;3684;2.23642223;42.01533257
Sant Iscle de Vallalta;81939;129;17,77;1463;2.56872266;41.62442404
Sant Jaume d'Enveja;439023;7;60,79;3671;0.7194703;40.70705095
Sant Jaume de Frontanyà;82166;1072;21,26;26;2.02378997;42.1872868
Sant Jaume de Llierca;171655;203;6,75;851;2.60858458;42.21286339
Sant Jaume dels Domenys;431378;213;24,45;2806;1.5589292;41.29928078
Sant Joan de les Abadesses;171674;773;53,67;3373;2.28482195;42.23277865
Sant Joan de Mollet;171680;54;3,15;526;2.94271891;42.04566964
Sant Joan de Vilatorrada;82188;277;16,43;10972;1.80485938;41.74548484
Sant Joan Despí;82172;10;6,17;35012;2.0560405;41.36702731
Sant Joan les Fonts;171851;342;31,94;3103;2.51177967;42.21264488
Sant Jordi Desvalls;171668;57;11,72;867;2.95383269;42.07206418
Sant Julià de Cerdanyola;89030;954;11,79;231;1.89284723;42.2236694
Sant Julià de Ramis;171693;128;18,80;3639;2.83958565;42.03454082
Sant Julià de Vilatorta;82205;600;15,94;3300;2.32509897;41.92192644
Sant Julià del Llor i Bonmatí;179032;160;9,73;1387;2.66106423;41.97225991
Sant Just Desvern;82212;122;7,81;20815;2.07576635;41.38598599
Sant Llorenç d'Hortons;82227;196;19,72;2617;1.82450866;41.46711499
Sant Llorenç de la Muga;171714;173;31,84;258;2.78955524;42.31998556
Sant Llorenç de Morunys;251930;925;4,34;1000;1.59189296;42.13703473
Sant Llorenç Savall;82233;466;41,11;2580;2.05830997;41.67872541
Sant Martí d'Albars;82251;629;14,73;140;2.07387292;42.02826715
Sant Martí de Centelles;82248;404;25,55;1260;2.24775225;41.76209368
Sant Martí de Llémena;171729;256;43,13;705;2.64753273;42.0363959
Sant Martí de Riucorb;259025;409;34,90;675;1.05223562;41.55994115
Sant Martí de Tous;82264;465;39,21;1273;1.52453705;41.55986864
Sant Martí Sarroca;82270;291;35,27;3385;1.61153466;41.38477018
Sant Martí Sesgueioles;82286;646;3,87;360;1.48829949;41.70230578
Sant Martí Vell;171735;65;17,52;262;2.93108788;42.01977806
Sant Mateu de Bages;82299;569;102,92;637;1.73273204;41.79665278
Sant Miquel de Campmajor;171740;217;33,22;250;2.68445945;42.12601201
Sant Miquel de Fluvià;171753;28;3,51;840;2.99170439;42.17196777
Sant Mori;171766;51;7,53;164;2.99076714;42.15377592
Sant Pau de Segúries;171772;867;8,74;722;2.36492229;42.26086051
Sant Pere de Ribes;82310;44;40,80;32006;1.77209081;41.26226838
Sant Pere de Riudebitlles;82325;246;5,38;2495;1.70299378;41.45402409
Sant Pere de Torelló;82331;621;55,13;2596;2.29679134;42.07501464
Sant Pere de Vilamajor;82346;305;34,72;4923;2.38837365;41.68414842
Sant Pere Pescador;171788;5;18,45;2207;3.08196013;42.18815677
Sant Pere Sallavinera;81897;588;22,02;158;1.57537149;41.73669107
Sant Pol de Mar;82359;15;7,53;5810;2.62142271;41.60020983
Sant Quintí de Mediona;82362;326;13,84;2511;1.66297196;41.46218122
Sant Quirze de Besora;82378;587;8,12;2127;2.22283148;42.1001594
Sant Quirze del Vallès;82384;188;14,07;20110;2.08078922;41.53310365
Sant Quirze Safaja;82397;627;26,21;671;2.15500825;41.72798942
Sant Ramon;251945;641;18,53;495;1.35790263;41.72453272
Sant Sadurní d'Anoia;82401;162;18,96;12915;1.78653904;41.42409692
Sant Sadurní d'Osormort;82418;531;30,60;85;2.38148557;41.90191777
Sant Salvador de Guardiola;80983;334;37,15;3478;1.76694739;41.67944747
Sant Vicenç de Castellet;82628;176;17,13;10131;1.86388274;41.66551791
Sant Vicenç de Montalt;82649;143;8,05;6725;2.50933145;41.57833381
Sant Vicenç de Torelló;82652;555;7,04;2090;2.27377438;42.06143523
Sant Vicenç dels Horts;82634;22;9,12;28595;2.00998304;41.3933921
Santa Bàrbara;431384;79;28,15;3819;0.49241299;40.7145205
Santa Cecília de Voltregà;82439;519;8,63;192;2.22228684;41.99314229
Santa Coloma de Cervelló;82444;73;7,49;8334;2.01579415;41.36740424
Santa Coloma de Farners;171805;142;70,64;13874;2.66265205;41.8640765
Santa Coloma de Gramenet;82457;56;7,00;120903;2.20813616;41.451786
Santa Coloma de Queralt;431397;674;33,85;2823;1.3838885;41.5324225
Santa Cristina d'Aro;171812;30;67,55;5833;2.99634843;41.81268616
Santa Eugènia de Berga;82460;538;7,01;2300;2.28316154;41.90018835
Santa Eulàlia de Riuprimer;82476;568;13,82;1486;2.18812044;41.91101118
Santa Eulàlia de Ronçana;82482;236;14,23;7916;2.22175178;41.65618933
Santa Fe del Penedès;82495;240;3,41;360;1.72094707;41.38454505
Santa Llogaia d'Àlguema;171827;42;1,94;400;2.95201976;42.23332856
Santa Margarida de Montbui;82508;316;27,59;10519;1.60775385;41.57515673
Santa Margarida i els Monjos;82515;161;17,16;7718;1.66644288;41.32556937
Santa Maria d'Oló;82589;542;66,21;1078;2.03560502;41.87381948
Santa Maria de Besora;82536;866;24,73;164;2.25791133;42.12681149
Santa Maria de Martorelles;82567;181;4,51;872;2.25326029;41.51961737
Santa Maria de Merlès;82554;532;52,08;175;1.97803769;42.00101562
Santa Maria de Miralles;82573;543;25,04;137;1.52498968;41.5180786
Santa Maria de Palautordera;82592;208;16,94;9994;2.44588783;41.69323754
Santa Oliva;431401;101;9,65;3679;1.55069958;41.25311797
Santa Pau;171848;496;49,01;1610;2.57136437;42.14426939
Santa Perpètua de Mogoda;82606;74;15,83;25936;2.18317016;41.53491925
Santa Susanna;82613;10;12,63;3999;2.70754967;41.63542112
Santpedor;81923;336;16,50;7707;1.83920226;41.78306992
Sarral;431423;467;52,39;1588;1.24857885;41.44460279
Sarrià de Ter;171864;70;4,16;5378;2.82543811;42.01847569
Sarroca de Bellera;252017;1002;87,51;114;0.88127286;42.35972014
Sarroca de Lleida;252000;201;42,18;381;0.56205425;41.4584344
Saus, Camallera i Llampaies;171870;86;11,36;908;2.97637241;42.13269852
Savallà del Comtat;431439;825;14,80;48;1.29893234;41.543117
Secuita, la;431444;169;17,77;1828;1.2795936;41.20464645
Selva de Mar, la;171886;48;7,19;220;3.18647293;42.32448788
Selva del Camp, la;431457;246;35,31;5839;1.1370834;41.21534896
Senan;431460;652;11,70;46;1.08842598;41.46995053
Sénia, la;430445;369;108,41;5618;0.2860934;40.63308091
Senterada;252022;729;34,45;157;0.93745115;42.32493948
Sentiu de Sió, la;250352;281;29,62;454;0.87845738;41.80480475
Sentmenat;82671;207;28,80;9523;2.13542787;41.60866493
Serinyà;171903;188;17,38;1196;2.74439258;42.16906301
Seròs;252043;103;85,75;1890;0.40955225;41.46329226
Serra de Daró;171910;15;7,91;231;3.07206737;42.02833404
Setcases;171925;1265;49,12;192;2.30117955;42.37537123
Seu d'Urgell, la;252038;691;15,45;12759;1.46201318;42.35816328
Seva;82690;663;30,40;3801;2.27982441;41.83885381
Sidamon;252056;232;8,12;769;0.83200515;41.6292898
Sils;171931;76;29,91;6706;2.74293402;41.81082984
Sitges;82704;10;43,85;32496;1.81161815;41.23490749
Siurana;170524;33;10,53;177;2.99411003;42.20947449
Sobremunt;82711;881;13,80;101;2.16695209;42.03603896
Soleràs, el;252069;381;12,23;317;0.68165937;41.4130345
Solivella;431476;489;21,37;627;1.17761051;41.45600422
Solsona;252075;664;17,70;9393;1.51817765;41.99434845
Sora;82726;716;31,71;219;2.16057603;42.11252428
Soriguera;252081;1258;106,39;447;1.1610577;42.38032834
Sort;252094;692;105,05;2258;1.12982187;42.41113456
Soses;252108;118;30,16;1870;0.48748938;41.53314601
Subirats;82732;243;55,89;3287;1.79835787;41.38279428
Sudanell;252115;152;8,69;897;0.56723247;41.55761331
Sunyer;252120;211;12,66;306;0.59301841;41.52325812
Súria;82747;326;23,60;6072;1.75430906;41.83124125
Susqueda;171946;816;50,61;95;2.5445419;42.01404985
Tagamanent;82763;354;43,31;339;2.26712139;41.73763253
Talamanca;82779;552;29,43;212;1.97724973;41.7381573
Talarn;252154;572;27,95;541;0.90018508;42.18554866
Talavera;252167;791;30,11;285;1.33820368;41.58205381
Tallada d'Empordà, la;171959;20;16,56;476;3.05523169;42.08060748
Taradell;82785;623;26,48;6828;2.28757001;41.87413939
Tarragona;431482;68;57,89;141018;1.25533049;41.1169279
Tàrrega;252173;373;88,36;18570;1.13936906;41.64640453
Tarrés;252189;578;13,01;125;1.01964806;41.42257038
Tarroja de Segarra;252192;460;7,61;172;1.27424806;41.73044795
Tavèrnoles;82750;537;18,78;341;2.32649256;41.95207149
Tavertet;82802;869;32,49;131;2.41926916;41.99572979
Teià;82819;128;6,63;6812;2.31952313;41.49963426
Térmens;252206;208;27,54;1344;0.76056343;41.71746482
Terrades;171962;228;20,96;342;2.83978536;42.31039267
Terrassa;82798;277;70,16;228294;2.01033346;41.5634155
Tiana;82824;136;7,95;9323;2.26890268;41.48189047
Tírvia;252213;991;8,50;144;1.24297135;42.51509051
Tiurana;252228;387;15,86;67;1.25558203;41.97582541
Tivenys;431495;13;53,54;937;0.51244893;40.90733424
Tivissa;431508;309;209,43;1624;0.73198956;41.04330676
Tona;82830;596;16,54;8499;2.22856113;41.85031212
Torà;252234;448;93,31;1253;1.40277661;41.81276729
Tordera;82845;34;83,97;18795;2.71824184;41.70160257
Torelló;82858;508;13,00;15107;2.26280558;42.04672577
Torms, els;252249;476;13,75;138;0.71972485;41.39416901
Tornabous;252252;289;24,17;842;1.05308034;41.70165982
Torre de Cabdella, la;252271;1075;165,27;787;0.98253151;42.42190748
Torre de Claramunt, la;82861;363;15,02;4115;1.658337;41.53352325
Torre de Fontaubella, la;431515;369;7,11;119;0.86429623;41.12436527
Torre de l'Espanyol, la;431520;164;27,90;630;0.6250989;41.1918096
Torrebesses;252265;287;27,45;273;0.59509369;41.42664815
Torredembarra;431536;15;8,71;17953;1.39563133;41.14566163
Torrefarrera;252287;214;23,49;4904;0.60663849;41.67321618
Torrefeta i Florejacs;259078;475;88,91;608;1.27532798;41.75334896
Torregrossa;252304;232;40,52;2227;0.83186291;41.58107244
Torrelameu;252311;201;10,93;799;0.70208299;41.70469051
Torrelavit;82877;202;23,65;1509;1.72970021;41.44748987
Torrelles de Foix;82883;367;36,72;2662;1.56874586;41.388311
Torrelles de Llobregat;82896;126;13,56;6136;1.98115644;41.35893901
Torrent;171978;44;7,96;174;3.12769296;41.95201085
Torres de Segre;252326;119;50,61;2268;0.51357711;41.53526453
Torre-serona;252332;197;5,89;440;0.62932538;41.67186223
Torroella de Fluvià;171984;9;16,85;770;3.04096901;42.17487874
Torroella de Montgrí;171997;31;65,93;12421;3.12610284;42.04107056
Torroja del Priorat;431541;332;13,16;137;0.81064225;41.21337863
Tortellà;172001;276;11,07;828;2.63000059;42.2328818
Tortosa;431554;12;218,51;35513;0.52064308;40.81100816
Toses;172018;1444;57,88;192;2.01698644;42.32164368
Tossa de Mar;172023;5;38,58;6241;2.93123005;41.71800762
Tremp;252347;468;302,82;6056;0.89525918;42.16741022
Ullà;172044;21;7,29;1221;3.10767928;42.0507017
Ullastrell;82900;342;7,31;2179;1.95982199;41.52866569
Ullastret;172057;49;11,09;266;3.06854627;42.0004373
Ulldecona;431567;133;126,88;6598;0.44887548;40.59823916
Ulldemolins;431573;650;38,17;414;0.87639506;41.32259104
Ultramort;172039;30;4,35;214;3.03447793;42.03667882
Urús;172060;1263;17,42;207;1.85402074;42.35006996
Vacarisses;82917;382;40,70;7549;1.91790928;41.60722832
Vajol, la;170144;546;4,71;98;2.80019451;42.40380196
Vall d'en Bas, la;172076;510;90,67;3221;2.46050942;42.11988822
Vall de Bianya, la;172082;367;93,62;1347;2.45494424;42.21023603
Vall de Boí, la;250432;1111;219,49;1119;0.80084768;42.50611108
Vall de Cardós;259010;898;56,20;381;1.22507548;42.5643416
Vallbona d'Anoia;82922;289;6,45;1405;1.70767217;41.51872667
Vallbona de les Monges;252385;481;34,14;221;1.08856344;41.52501575
Vallcebre;82938;1123;27,99;272;1.8182151;42.20393901
Vallclara;431589;625;13,63;89;0.98225217;41.3773671
Vallfogona de Balaguer;252402;235;26,97;2016;0.81374349;41.75246935
Vallfogona de Ripollès;171707;956;39,20;222;2.30363276;42.19538574
